no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
6,大数据挖掘工程师,天翼数字生活,15-25K,3-5年,本科,上海·静安区·汶水路,"SQL,Python,Scala,数学/统计相关专业,大数据处理经验,电商/零售行业数据相关经验","['1.基于电信海量用户数据，dpi探针数据等内外部数据，建立数据挖掘模型，包括潜客挖掘模型、产品精准营销模型等', '2.能够持续完善相关模型，使模型结果更能满足业务需求', '3.负责对网关dpi数据挖掘，建立天翼网关质差标签体系，并实施标签开发', '4.负责模型数据结合，给客户提供数据模型支持', '任职要求：1、教育背景：- 计算机，统计学相关专业，全日制本科及以上学历；2、经验背景：- 5年以内大数据相关经验，有互联网及to B数据产品相关经验更佳；3、岗位能力：- 熟悉Scala、Python、Java中任意一种；- 必备Hadoop生态大数据研发经验；- 良好的编程基础和数据结构基础，熟悉算法，机器学习的有加分；4、软性能力：- 优秀的学习能力和抗压能力，具备良好的沟通协作能力，工作积极主动，认真负责。', '本岗位为紧密外包岗，如果和您职业规划冲突，请谨慎投递']",上海静安区市北·壹中心1栋17楼,https://www.zhipin.com/job_detail/7f02cd57d3f172ad1Xx53t-7FlpY.html?lid=CQ1tC0C85r.search.216&securityId=Gv5APASDQj09I-_1P8hEqxXP31NU0FDMiuvpaE_v-LC9f9RGdezsWe0MzFq5tIYkjSHkKbPKatAh7QfXuLacJucEtHl07zkf_VQkV26Vwq-Eq2vvn7g~&sessionId=
7,大数据售前顾问,上海数澄科技有限公司,12-20K,5-10年,本科,上海·静安区·彭浦镇,"医疗/大健康信息化项目,售前技术支持经验,团队管理经验,信息系统项目管理师","['岗位职责：', '1、了解大数据的实际应用场景，，与合作伙伴进行技术交流，结合其行业特性，共同撰写项目方案，配合公司进行市场推广等;', '2、为客户提供大数据解决方案，满足客户需求，负责包括项目方案的讲解和项目解决方案顾问式售前支持； ', '3、研究行业用户数据，将大数据与行业需求有效结合，实现大数据在行业内的应用价值。', '任职要求：', '1、40岁以下，本科及以上学历，大数据、计算机、通信工程、信息管理、电子或计算机相关专业毕业；', '2、5年以上大数据售前咨询顾问经验，熟悉数据治理相关的方法和理论，有大数据项目建设经验，完整参与过整个大数据项目全过程者优先；', '3、熟悉医疗、零售行业相关理论，参与过相关行业大数据分析项目者优先；', '4、良好的分析问题和逻辑思维能力，对数据敏感，能对用户的需求能进行有效的分析和甄别；', '5、优秀的方案功底，有较强的创造性思维能力、创意概念及良好的沟通表达能力；', '6、具有出色的售前讲解能力，具备良好的表达沟通能力、人际能力、计划与执行能力等，能够不断学习进步，可承受工作压力。', '加分项', '有以下行业经验：数据服务·咨询·企业服务']",上海静安区聚能湾大厦3楼,https://www.zhipin.com/job_detail/0c4512f32d271eb61XJ_2Nq9EFtX.html?lid=CQ1tC0C85r.search.217&securityId=a5HGZe1n5Jx0y-Q1WJrHxhv10KTahaPncRWh_ZWtvHPQYxoGe6VoIpKlTaiGy4F2FQclm-86dtU8Y-i9f2Ghvd_Kkv5cTHk0W55fnbfsUxH9DIySkddu&sessionId=
8,大数据产品经理,上海吉堡教育信息...,12-18K,5-10年,本科,上海·嘉定区·江桥,"市场调研,大数据产品,需求分析,数据分析,TO B,TO C,墨刀","['工作职责:', '1、参与数据类项目的需求调研，编写调研报告，引导并明确客户的具体需求，进行分析、讨论、整理。', '2.负责BI平台规划&设计，独立完成产品调研、方案设计以及协调各方资源推动产品上线；承担数据产品的运营工作，包括产品的推广、培训、文档撰写等环节，辅助各业务线/职能部门接入&完善BI门户。', '3.负责数据BI项目的实施交付，包括项目计划的制定、项目交流汇报材料编写等工作；', '4.负责数据BI项目管理等工作，协调公司内外资源，保证项目能顺利交付。', '5、定期与上级沟通，汇报项目进度，了解用户想法，引导用户以推进项目顺利实施；', '6、有k12教育、教育系统相关行业优先，对行业有一定理解，可根据教育变革提出相应解决方案。', '任职要求:', '1、本科及以上学历，3年以上数据分析和产品设计经验，统计、数学、计算机相关专业优先。', '2、熟练使用SQL及其他分析工具，对于大数据解决方案有自己的理解。', '3、熟悉业内的BI产品，如观远BI、Finebi、Tableau、PowerBI、BDP等；有相关工作经验者优先考虑。', '4、善于总结项目经验和实施技术储备，带领团队进行知识分享和培训。', '5、优秀的分析问题和解决问题的能力，责任心强，执行力强；', '6、具备良好的文档编写能力和逻辑思考能力，优秀的沟通表达能力。']",上海嘉定区江桥万达广场3号写字楼11楼,https://www.zhipin.com/job_detail/5e2e63192855bba11XNy3969F1VZ.html?lid=CQ1tC0C85r.search.218&securityId=hSs4NUXC-Zmqx-t1ctU_JdwtiDBQw6j87nMnBqwQNrpP4nf-h3s0JXS-Lg05FO6_67PfKLmQOKDLeAE-EAam5UVafGweaw_JLCWEl5DKYRARtKkqeNw~&sessionId=
9,大数据中心总监,民生金租,50-70K·15薪,5-10年,本科,上海·浦东新区·世博,"模型,数据湖,数字化","['一、岗位职责', '1、负责乘用车策略模型团队的管理、规划、落地和执行，包括ABC卡的搭建和持续优化等。', '2、负责数据分析团队管理、规划、落地和执行，包括支持各部门的数据报表、数据湖的搭建、风险、运营的分析等。', '3、负责团队的搭建', '二、岗位要求', '1、5年以上大数据、策略、模型管理经验，数学，统计学相关专业 ', '2、有丰富的策略、建模经验', '3、有数字化搭建的经验、包括对数据湖的建设有比较深刻的认知和理解', '4、有丰富的团队管理经验', '5、有汽车金融相关经验优先']",上海浦东新区后滩中农投大厦1602室,https://www.zhipin.com/job_detail/3f1ff0d3d1c5dc221XR-3d-4FlZZ.html?lid=CQ1tC0C85r.search.219&securityId=EJDml94D8smY0-S1pC6xguTEgqdUssHooVGBOQYAthsA0MEJUFMrthJYJNEs_-iM8OdlMUxUmpHf7Tr-MzI4ZlvjtPDT-hi5Xywvm6_7YTRyoeG3&sessionId=
10,大数据分析师,新玺泽恒,15-30K,3-5年,本科,上海·静安区·彭浦镇,"Python,决策树,多元统计分析,回归分析,相关分析,聚类分析,效度分析","['我们的能力比较特殊，所以需要的人需要有对商业业务的理解能力➕数据技术的能力➕运营能力', '1. 为产品推广运营团队提供数据分析和用户与商业产品的推荐数据支持；', '2. 负责整理业务数据，对多种数据源的进行深度诊断性组合分析、挖掘深度分析和建模；', '3. 参与实际的商业推荐营销业务，通过分析、建模不同品类用户的各项特征数据，构建规则、模型来挖掘营销产品最相关的产品用户群；', '4. 深入理解各商业业务，发现业务特征潜在机会，并给出有效的行动建议；', '5. 对公司业务的运营进行评估和建议，从数据的角度推动公司运营决策、产品方向和运营。', '任职资格：', '1. 全日制本科、计算机、统计和数学等相关专业；985/211优先；', '2. 有数据分析工作经验3年以上，熟练使用SQL语言进行数据分析工作；', '3. 除Excel外，精通一门数据分析工具，熟悉hive数据库结构，python者优先；', '4. 具备良好的沟通能力和表达能力，有独立开展业务调研、数据分析、报告编写的经验，对解决具有挑战性问题充满激情。']",上海静安区大众东朔空间1209,https://www.zhipin.com/job_detail/6d29aeb42f3663d41XR409S6F1pV.html?lid=CQ1tC0C85r.search.220&securityId=SofOn068DnAsD-91KOwXh0WII19rbDq0iAXMZ1osnBkyJ7ANJYVboDsby0RAsnM3OwicxYWEKG3uC_TVIfAxUvCbTFSI3c5OEhYCmgLU2_vwSZbpVzk~&sessionId=
11,大数据开发组长,顺冠科技,15-16K,5-10年,本科,上海·宝山区·淞宝,"Java,Python,Spark,大数据开发经验","['岗位职责：', '1、负责系统开发，管控团队开发进度、质量、测试，并撰写相关技术文档；', '2、按项目管理要求对研发过程进行管理，包括项目计划制定、过程规划、过程跟进、过程协调；', '3、为技术支持人员提供技术支持，解决技术支持过程中遇到的相关问题；', '4、完成系统概要设计、详细设计，部分核心功能的编码，并指导开发人员完成代码编写，协调系统测试、版本提交；', '5、把控项目开发进度，确保产品质量和如期交付。', '任职要求：', '1、计算机、软件工程及相关专业，6年及以上软件开发经验，3年以上带队开发工作经验；', '2、JAVA基础扎实，精通Spring，SpringBoot，SpringCloud等主流开源框架并了解其工作原理和机制，有SpringCloud微服务架构项目设计经验；', '3、熟悉 MySQL、Oracle 等数据库，熟练地使用 SQL 语句；', '4、熟悉Hadoop生态圈（HDFS、HIVE）和大数据开发；', '5、熟悉JS,CSS，能够使用vue,Bootstrap等前台框架；', '6、熟悉多线程编程、RPC框架、分布式缓存、监控、消息中间件,异步处理等机制；', '7、熟练掌握分布式通讯框架、消息中间件、分布式缓存（memcache、redis等）、分布式事务处理；', '8、工作执行力强，有担当，敢于应对变化和创新；', '9、有Power BI项目开发经验，熟悉DAX/Power Query；', '10、英语工作环境，要求英语听说读写能力强。']",上海宝山区上海宝山航运经济发展区四楼,https://www.zhipin.com/job_detail/8cb131e71a64ca7c1XB93Ny4FltS.html?lid=CQ1tC0C85r.search.221&securityId=QkhPnqhTldRa8-X1S1DNieKDBPLKXA-OtQRlFlK6FqdZj1f0bkb8LH8a62jLJB9nJc56ANP72S3EE1f4ddTv5cjeKHlsvH3TcktFSFa5ylVSxfjWPOA~&sessionId=
12,大数据售前总监,星慧众亿,20-30K,3-5年,本科,上海·普陀区·长征,"项目招投标,解决方案,售前支持,信息化,大数据,云计算","['职位描述：', '1. 负责集团大数据相关项目，包括业务咨询、方案规划、项目推进落地等工作； 2. 负责管理相关子公司大数据项目，协调需要的内部资源进行必要的支持，使得项目健康顺利推进； 3. 协助制定市场拓展策略和市场推广活动的策划和执行； 4. 拓展与客户的合作范围，推动和跟进解决方案产品的落地； 5. 竞争友商技术方案及相关信息收集，分析比较。 ', '任职要求： ', '1. 学历要求：毕业于211或985院校、统招本科及以上学历，计算机、软件工程、管理信息系统等相关专业； 2. 工作经验：5年以上大数据行业工作经验，3年以上大数据售前技术支持，具有2G、2B大数据项目咨询从业经验； 3. 能力要求：熟悉精通大数据（2G、2B），对数据治理、数据分析、行业应用策划、解决方案规划、项目策划沟通有较深理解和认识，具有现场进行大数据应用策划能力，引导用户需求的能力，有优秀的沟通和演讲能力、业务分析能力、文案写作能力； 4. 经验要求：熟悉政府、国企或央企项目立项招投标全过程，至少有3个以上千万级以上大数据平台项目经验； 5. 技术要求：熟悉大数据Hadoop生态相关工具和技术，能够输出方案级技术架构，对DAAS层和PAAS层相关技术与解决方案有深入了解。 6. 素质要求：工作踏实，态度积极，能够承受较强的工作压力；责任心强，正直诚实，值得信赖。']",上海普陀区梅川路文化时尚休闲街1209号,https://www.zhipin.com/job_detail/c75fd1e8243ed7461nR53dW7EFZQ.html?lid=CQ1tC0C85r.search.222&securityId=lfROsv5E8p-uD-D1IA8m7sGan-im4ln_cxgqhMpm_U5qRAs79uabSDUMYabT2D1IKjm9I564Jxl8IR590CDx302IWTSTvrXrXTQs5bP6O8UxL7uDEuTH&sessionId=
13,大数据架构师,品上生活网络,30-50K·13薪,5-10年,本科,上海·浦东新区·张江,"数据架构师,数据仓库,数据挖掘,ETL,数据开发,数据分析","['职位诱惑：', '领导Nice,发展空间大,五险一金,免费午餐', '职位描述：', '岗位描述：', '1.负责公司数据团队建设，业务领域核心数据体系的规划设计，在数据化运营和数据能力产品化等方向上，制定数据技术和服务的策略；', '2.规划设计数据服务工具，提升数据研发的工作效率，搭建数据服务的工具/产品，赋能业务同学和业务产品，灵活支撑业务的创新和探索，让数据价值更浸透；', '3.负责数据质量、稳定性等数据管理，数据内部共享融通的数据平台，让数据标准更规范、数据获取更高效；', '岗位要求：', '1. 5年以上数据开发岗位的经验，对数据仓库、数据平台、数据分析、数据挖掘、深度学习、NLP等领域有深刻的理解，丰富的数据架构经验，精通数据建模及ETL设计开发；有较为系统的海量数据性能处理经验；有前瞻性的整套数据管理、数据服务等解决方案的规划和落地经验尤佳；', '2. 对公司业务有整体的理解，对数据业务场景非常敏感，能够有效结合业务和技术创新，全局地规划或完善数据服务体系以解决业务/产品的问题；', '3. 熟悉大数据架构体系，对Hadoop、Hdfs、MapReduce、Yarn、Hive、Tez、Spark、Kafka、Flume、Fluentd等组件/技术中的一个或者多个有深入理解。', '4. 具有大型跨部门的复杂项目或者技术领域的管理经验，有成熟的团队梯队建设经验和技能储备的思路；', '5. 具备创新精神，逻辑思维能力强，商业嗅觉敏锐者优先；']",上海浦东新区矽岸国际1号楼616室,https://www.zhipin.com/job_detail/4a4957c937f914711nR_3NW0F1JQ.html?lid=CQ1tC0C85r.search.223&securityId=h2TcsniAp75nF-Q1Y0uxrvl70ebN9j9cUe4QRsmdKJnmA9Korxir82YeVEYn1RNpZ4Y0TdJ_8-roPXFvnw6osUWsHC517yh-Nk_xh6egIVj2536c&sessionId=
14,大数据架构师,NORMCORE,25-40K,5-10年,本科,上海·闵行区·虹桥,"数据挖掘,Hadoop,搜索算法",,,https://www.zhipin.com/job_detail/225eab646b8b129e1HZ93tq1FFM~.html?lid=CQ1tC0C85r.search.224&securityId=OswvGU0f0aB5C-G1qdWHPdZvAMHoEGBHCzCOaGoMEtvsRs38JnQalA6BSvRDQ1NpWnqqJIInGvNcgJeeXnPfY4iKvH7zCdMGWSsmcfeQFHPyvXQ~&sessionId=
15,大数据产品经理,Eureka-Systems,15-25K·13薪,3-5年,本科,上海·徐汇区·徐家汇,"大数据产品,产品设计,需求分析,Axure,Xmind,SQL,大数据,BI",,,https://www.zhipin.com/job_detail/b46e24940629cad51nZ-39i0F1JY.html?lid=CQ1tC0C85r.search.225&securityId=WYwQs8TCf0OBb-j10BpReP7xvE0XFd6de4uFcOfb-FVTsHK1hzJKs4UEl8EG6V3WU5A79z3pxYWTA1ezw4JfaU4f2Y1yX-6W_SgiHTwLTi7YbRPgig~~&sessionId=
16,大数据开发讲师,上海八维宏烨学院,18-35K,5-10年,本科,上海,"分布式技术,Hadoop,Spark,Java,数据仓库,架构师,大数据",,,https://www.zhipin.com/job_detail/4b2750477d9b7ee41Xd-39i_FVdT.html?lid=CQ1tC0C85r.search.226&securityId=DN8pV8qP0p1Zg-Y1MDI8a01e3KdJrFyKoWVcvqugtoaJMKkYpQ3bkg3Ki17T5i42IV7zDg5dJHjS0cWIw-29e7rzbJAKk6kC313cdRJKvRFu6AQy&sessionId=
17,大数据售前顾问,奇点云,25-35K,5-10年,本科,上海·徐汇区·漕河泾,"计算机/通信相关专业,售前技术支持经验,数据中台,大数据,大数据架构师",,,https://www.zhipin.com/job_detail/7041fc303937da1d1XN-3dm-FVRS.html?lid=CQ1tC0C85r.search.227&securityId=rXjcYK-dh1CZ6-w1GqakWxI0GRZBTqGoF1v8CYOvDI_dFP7aiuUc6HJ0gScumYE3HRs1hXOW8WpIXxJhXIerYB3w-k0mh1zVtbaq4audUYxyQwgw&sessionId=
18,大数据项目经理,医渡科技,20-21K·13薪,3-5年,本科,上海·徐汇区·漕河泾,"分布式技术,售后支持,需求分析评估,技术管理",,,https://www.zhipin.com/job_detail/6b4ced6d6739cd2a1XR82t25FFJQ.html?lid=CQ1tC0C85r.search.228&securityId=Y2pIZh9f6ITys-b1kCBbdlZZdT5YY4bXzxTK-dT_P5g-NACUgXZVSgvqZeL1MbR9vvbhbGlD8Nh8VAvutoT-HsFrxyGnWzuoVIaCtGkPauqUlDkXRQ~~&sessionId=
